Time[s], Latitude [degE7], Longitude [degE7], Altitude [mm]
0.27268147468566895, 407878091, -778965146, 376542
0.4659421443939209, 407878101, -778965111, 376101
0.667203426361084, 407878104, -778965100, 376204
0.8669552803039551, 407878118, -778965088, 376220
1.0670366287231445, 407878131, -778965067, 375984
1.2719111442565918, 407878138, -778965059, 375857
1.4642043113708496, 407878150, -778965060, 375724
1.6653804779052734, 407878162, -778965058, 375772
1.8689444065093994, 407878175, -778965046, 375649
2.064882516860962, 407878186, -778965041, 375549
2.275055170059204, 407878197, -778965036, 375417
2.4701876640319824, 407878218, -778965025, 375027
2.6679916381835938, 407878237, -778965028, 374861
2.8670456409454346, 407878253, -778965028, 374713
3.0642826557159424, 407878266, -778965032, 374671
3.273726224899292, 407878278, -778965028, 374534
3.46528697013855, 407878290, -778965021, 374306
3.668947696685791, 407878304, -778965026, 374139
3.865818500518799, 407878323, -778965037, 374066
4.067301273345947, 407878348, -778965037, 373927
4.276849746704102, 407878373, -778965039, 373795
4.467060804367065, 407878400, -778965044, 373597
4.667390584945679, 407878426, -778965060, 373760
4.86798620223999, 407878453, -778965074, 373886
5.06519627571106, 407878476, -778965085, 373886
5.276920318603516, 407878499, -778965093, 373837
5.47023606300354, 407878516, -778965105, 373856
5.669515132904053, 407878534, -778965116, 374037
5.870322227478027, 407878549, -778965120, 374124
6.067126274108887, 407878561, -778965130, 374120
6.271331548690796, 407878578, -778965147, 374341
6.468989133834839, 407878602, -778965162, 374388
6.667220115661621, 407878623, -778965177, 374296
6.864822149276733, 407878645, -778965188, 374169
7.069870710372925, 407878660, -778965205, 374109
7.274219274520874, 407878672, -778965220, 373922
7.466063737869263, 407878685, -778965219, 373627
7.676527738571167, 407878703, -778965222, 373502
7.8652801513671875, 407878721, -778965244, 373547
8.069191694259644, 407878742, -778965266, 373562
8.272024869918823, 407878764, -778965279, 373495
8.469863176345825, 407878780, -778965304, 373649
8.681254386901855, 407878790, -778965318, 373370
8.870037317276001, 407878805, -778965333, 372854
9.06924295425415, 407878829, -778965357, 372380
9.278074264526367, 407878850, -778965393, 372455
9.464093685150146, 407878868, -778965411, 372376
9.66377067565918, 407878886, -778965427, 372283
9.868922710418701, 407878906, -778965438, 372168
10.067253828048706, 407878923, -778965453, 372062
10.27242112159729, 407878940, -778965478, 372171
10.46487545967102, 407878956, -778965498, 372131
10.668928861618042, 407878972, -778965526, 372198
10.86613154411316, 407878988, -778965549, 372173
11.070741653442383, 407879006, -778965555, 371775
11.276374816894531, 407879025, -778965573, 371829
11.471472024917603, 407879044, -778965598, 371903
11.666191577911377, 407879065, -778965614, 371735
11.869362592697144, 407879090, -778965639, 371892
12.069602727890015, 407879113, -778965656, 371969
12.274682760238647, 407879133, -778965678, 372146
12.474913120269775, 407879155, -778965682, 371970
12.67542290687561, 407879171, -778965689, 371787
12.87137246131897, 407879189, -778965702, 371699
13.06355881690979, 407879202, -778965711, 371451
13.27621865272522, 407879219, -778965726, 371483
13.473010778427124, 407879237, -778965736, 371370
13.665769100189209, 407879253, -778965754, 371357
13.86970067024231, 407879268, -778965781, 371513
14.066339254379272, 407879284, -778965802, 371642
14.27472734451294, 407879297, -778965819, 371598
14.46659803390503, 407879313, -778965833, 371533
14.67192554473877, 407879331, -778965840, 371363
14.870166540145874, 407879345, -778965854, 371327
15.069148302078247, 407879365, -778965877, 371445
15.274698257446289, 407879387, -778965892, 371469
15.466493368148804, 407879404, -778965912, 371499
15.667404890060425, 407879423, -778965930, 371532
15.874610900878906, 407879440, -778965942, 371461
16.06743884086609, 407879454, -778965957, 371356
16.27231454849243, 407879466, -778965983, 371439
16.469200134277344, 407879479, -778966004, 371525
16.673466682434082, 407879501, -778966016, 371574
16.874662399291992, 407879530, -778966025, 371738
17.073879718780518, 407879556, -778966034, 371779
17.27817726135254, 407879571, -778966051, 371756
17.478609085083008, 407879589, -778966076, 371935
17.6794536113739, 407879608, -778966098, 372082
17.87152624130249, 407879627, -778966121, 372290
18.073938608169556, 407879644, -778966133, 372401
18.277074337005615, 407879662, -778966147, 372420
18.477728843688965, 407879676, -778966171, 372544
18.675893783569336, 407879683, -778966203, 372728
18.871756076812744, 407879696, -778966231, 372853
19.079331159591675, 407879699, -778966253, 372781
19.28041934967041, 407879703, -778966272, 372925
19.472275257110596, 407879711, -778966294, 373008
19.67470121383667, 407879724, -778966320, 373232
19.875017881393433, 407879733, -778966348, 373395
20.07534623146057, 407879747, -778966367, 373508
20.279337406158447, 407879762, -778966398, 373604
20.47826862335205, 407879776, -778966420, 373586
20.675752878189087, 407879789, -778966446, 373713
20.871933460235596, 407879798, -778966457, 373657
21.075016736984253, 407879808, -778966487, 373818
21.27715539932251, 407879817, -778966508, 373840
21.477527856826782, 407879830, -778966520, 373713
21.675052165985107, 407879848, -778966543, 373747
21.874958038330078, 407879871, -778966549, 373464
22.069231271743774, 407879888, -778966549, 373187
22.276445627212524, 407879896, -778966560, 373315
22.473961353302002, 407879919, -778966567, 373114
22.677115440368652, 407879948, -778966583, 373018
22.869373559951782, 407879975, -778966614, 373157
23.069294929504395, 407880002, -778966648, 373206
23.27611470222473, 407880020, -778966686, 373537
23.469279050827026, 407880038, -778966711, 373641
23.67621397972107, 407880062, -778966735, 373652
23.875596284866333, 407880082, -778966758, 373677
24.073105335235596, 407880102, -778966786, 373747
24.2815842628479, 407880116, -778966809, 373630
24.47086787223816, 407880138, -778966836, 373771
24.674971103668213, 407880155, -778966866, 373805
24.871541261672974, 407880173, -778966896, 374008
